parentSku,parentName,isVariant,variantName,variantValue,variantSortOrder,defaultVariant,sku,name,category,supplier,supplierSku,barcode,packSize,cost,trade,wholesale,special,rrp,reorder,unit,warranty,brand,productType,featured,condition,taxable,salesAccount,purchaseAccount,stockAccount,description
PB-GRP-MFTAB200,Multifunctional 200g Chlorine Tablets,true,Size,2 kg,1,true,PB-CPC-MFTAB2002BH,Multifunctional 200g Chlorine Tablets 2 kg,Chemicals,CPC,MFTAB2002BH,,2 kg,0,0,0,0,0,0,Tub,N/A,CPC,Stock tracked,No,New,Yes,4000 Merchandise Sales,5000 Cost of Goods Sold,1200 Stock/Inventory,Multifunctional 200g chlorine tablets
PB-GRP-MFTAB200,Multifunctional 200g Chlorine Tablets,true,Size,5 kg,2,false,PB-CPC-MFTAB2005BH,Multifunctional 200g Chlorine Tablets 5 kg,Chemicals,CPC,MFTAB2005BH,,5 kg,0,0,0,0,0,0,Tub,N/A,CPC,Stock tracked,No,New,Yes,4000 Merchandise Sales,5000 Cost of Goods Sold,1200 Stock/Inventory,Multifunctional 200g chlorine tablets
PB-GRP-MFTAB200,Multifunctional 200g Chlorine Tablets,true,Size,10 kg,3,false,PB-CPC-MFTAB20010BH,Multifunctional 200g Chlorine Tablets 10 kg,Chemicals,CPC,MFTAB20010BH,,10 kg,0,0,0,0,0,0,Tub,N/A,CPC,Stock tracked,No,New,Yes,4000 Merchandise Sales,5000 Cost of Goods Sold,1200 Stock/Inventory,Multifunctional 200g chlorine tablets
PB-GRP-MFTAB200,Multifunctional 200g Chlorine Tablets,true,Size,25 kg,4,false,PB-CPC-MFTAB20025BH,Multifunctional 200g Chlorine Tablets 25 kg,Chemicals,CPC,MFTAB20025BH,,25 kg,0,0,0,0,0,0,Tub,N/A,CPC,Stock tracked,No,New,Yes,4000 Merchandise Sales,5000 Cost of Goods Sold,1200 Stock/Inventory,Multifunctional 200g chlorine tablets
